"ESTACION_ID","NOMBRE_FGDA","NOMBRE_EST","MSFL_CODE","MED_CONCENTRACION_ESTANDAR","MED_FECHA_INICIO","MED_FECHA_FINAL","LATITUD","LONGITUD","ALTITUD","NOMBRE_UNIDAD","SIGLA_UNIDAD","DURACIÓN","CODIGO_DEPARTAMENTO","DEPARTAMENTO","CODIGO_MUNICIPIO","MUNICIPIO","TIPO_ESTACION"
"8258","CORTOLIMA","CORTOLIMA","PM10","35.55","2020 Feb 26 12:00:00 AM","2020 Feb 27 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","26.95","2020 Jun 25 12:00:00 AM","2020 Jun 26 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","17.72","2020 Apr 27 12:00:00 AM","2020 Apr 28 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","41.74","2020 Sep 23 12:00:00 AM","2020 Sep 24 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","33.49","2020 Aug 25 12:00:00 AM","2020 Aug 26 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","27.24","2020 Jun 05 12:00:00 AM","2020 Jun 06 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","31","2020 Sep 04 12:00:00 AM","2020 Sep 05 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","30.06","2020 May 20 12:00:00 AM","2020 May 21 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","40.1","2020 Aug 18 12:00:00 AM","2020 Aug 19 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","36.59","2020 Jan 17 12:00:00 AM","2020 Jan 18 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","26.89","2020 Nov 03 12:00:00 AM","2020 Nov 04 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","30.3","2020 Feb 16 12:00:00 AM","2020 Feb 17 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","33.29","2020 Oct 09 12:00:00 AM","2020 Oct 10 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","21.14","2020 Apr 06 12:00:00 AM","2020 Apr 07 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","28.8","2020 Aug 07 12:00:00 AM","2020 Aug 08 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
